Organism,TaxID,Accession,PrefixURL
Methanosarcina mazei str. Go1,192952,GCA_000007065.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/065/GCA_000007065.1_ASM706v1/GCA_000007065.1_ASM706v1
Methanosarcina mazei C16,1434113,GCA_000970245.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/245/GCA_000970245.1_ASM97024v1/GCA_000970245.1_ASM97024v1
Methanosarcina barkeri MS,1434108,GCA_000970025.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/025/GCA_000970025.1_ASM97002v1/GCA_000970025.1_ASM97002v1
Methanosarcina barkeri 227,1434106,GCA_000970065.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/065/GCA_000970065.1_ASM97006v1/GCA_000970065.1_ASM97006v1
Methanoregula boonei 6A8,456442,GCA_000017625.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/625/GCA_000017625.1_ASM1762v1/GCA_000017625.1_ASM1762v1
Nitrososphaera viennensis EN76,926571,GCA_000698785.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/785/GCA_000698785.1_ASM69878v1/GCA_000698785.1_ASM69878v1
Nitrosopumilus ureiphilus,1470067,GCA_013407185.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/185/GCA_013407185.1_ASM1340718v1/GCA_013407185.1_ASM1340718v1
Nitrosopumilus adriaticus,1580092,GCA_000956175.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/175/GCA_000956175.1_ASM95617v1/GCA_000956175.1_ASM95617v1
Methanococcus maripaludis,39152,GCA_002945325.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/945/325/GCA_002945325.1_ASM294532v1/GCA_002945325.1_ASM294532v1
Bradyrhizobium oligotrophicum S58,1245469,GCA_000344805.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/805/GCA_000344805.1_ASM34480v1/GCA_000344805.1_ASM34480v1
Bradyrhizobium japonicum USDA 6,1037409,GCA_000284375.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1/GCA_000284375.1_ASM28437v1
Ralstonia solanacearum FJAT-1458,1130828,GCA_001887535.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/535/GCA_001887535.1_ASM188753v1/GCA_001887535.1_ASM188753v1
Ralstonia solanacearum OE1-1,1429399,GCA_001879565.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/879/565/GCA_001879565.1_ASM187956v1/GCA_001879565.1_ASM187956v1
Geobacter uraniireducens Rf4,351605,GCA_000016745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/745/GCA_000016745.1_ASM1674v1/GCA_000016745.1_ASM1674v1
Geobacter lovleyi SZ,398767,GCA_000020385.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/385/GCA_000020385.1_ASM2038v1/GCA_000020385.1_ASM2038v1
Acidithiobacillus thiooxidans ATCC 19377,637390,GCA_009662475.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/662/475/GCA_009662475.1_ASM966247v1/GCA_009662475.1_ASM966247v1
Acidithiobacillus ferrivorans SS3,743299,GCA_000214095.3,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/095/GCA_000214095.3_ASM21409v3/GCA_000214095.3_ASM21409v3
marine metagenome SI072_10m,408172,SRR3719539,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR3719539/SRR3719539.1
marine metagenome SI072_100m,408172,SRR3719544,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR3719544/SRR3719544.1
marine metagenome SI072_200m,408172,SRR3719564,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR3719564/SRR3719564.1